Match ID,Date,City,Venue,Teams,Winner,Result Type,Result Margin,Overs,Toss Winner,Toss Decision,Player of Match,Umpires,Match Referee,Match Type,Gender
1000887,2017-01-13,Brisbane,"Brisbane Cricket Ground, Woolloongabba","Australia, Pakistan",Australia,normal,92 runs,50,Australia,bat,MS Wade,"MD Martell, C Shamshuddin",JJ Crowe,ODI,male
1000889,2017-01-15,Melbourne,Melbourne Cricket Ground,"Australia, Pakistan",Pakistan,normal,6 wickets,50,Australia,bat,Mohammad Hafeez,"CB Gaffaney, P Wilson",JJ Crowe,ODI,male
1000891,2017-01-19,Perth,Western Australia Cricket Association Ground,"Australia, Pakistan",Australia,normal,7 wickets,50,Australia,field,SPD Smith,"SD Fry, C Shamshuddin",JJ Crowe,ODI,male
1000893,2017-01-22,Sydney,Sydney Cricket Ground,"Australia, Pakistan",Australia,normal,86 runs,50,Australia,bat,DA Warner,"CB Gaffaney, MD Martell",JJ Crowe,ODI,male
1000895,2017-01-26,Adelaide,Adelaide Oval,"Australia, Pakistan",Australia,normal,57 runs,50,Australia,bat,DA Warner,"SD Fry, C Shamshuddin",JJ Crowe,ODI,male
1001371,2016-12-04,Sydney,Sydney Cricket Ground,"Australia, New Zealand",Australia,normal,68 runs,50,Australia,bat,SPD Smith,"HDPK Dharmasena, MD Martell",RB Richardson,ODI,male
1001373,2016-12-06,Canberra,Manuka Oval,"Australia, New Zealand",Australia,normal,116 runs,50,New Zealand,field,DA Warner,"HDPK Dharmasena, P Wilson",RB Richardson,ODI,male
1001375,2016-12-09,Melbourne,Melbourne Cricket Ground,"Australia, New Zealand",Australia,normal,117 runs,50,Australia,bat,DA Warner,"NJ Llong, MD Martell",RB Richardson,ODI,male
1004283,2016-09-08,Edinburgh,"Grange Cricket Club Ground, Raeburn Place","Scotland, Hong Kong",Null,no result,Null,50,Hong Kong,field,Null,"GO Brathwaite, IN Ramage",DT Jukes,ODI,male
1004285,2016-09-10,Edinburgh,"Grange Cricket Club Ground, Raeburn Place","Scotland, Hong Kong",Scotland,normal,53 runs,50,Scotland,bat,Null,"GO Brathwaite, IN Ramage",DT Jukes,ODI,male
