Match ID,Date,City,Venue,Teams,Winner,Result Type,Result Margin,Overs,Toss Winner,Toss Decision,Player of Match,Umpires,Match Referee,Match Type,Gender
1001349,2017-02-17,Melbourne,Melbourne Cricket Ground,"Australia, Sri Lanka",Sri Lanka,normal,5 wickets,20,Sri Lanka,field,DAS Gunaratne,"MD Martell, P Wilson",JJ Crowe,T20,male
1001351,2017-02-19,Victoria,"Simonds Stadium, South Geelong","Australia, Sri Lanka",Sri Lanka,normal,2 wickets,20,Sri Lanka,field,DAS Gunaratne,"SD Fry, SJ Nogajski",JJ Crowe,T20,male
1001353,2017-02-22,Adelaide,Adelaide Oval,"Australia, Sri Lanka",Australia,normal,41 runs,20,Sri Lanka,field,A Zampa,"MD Martell, P Wilson",JJ Crowe,T20,male
1004729,2016-09-05,Londonderry,"Bready Cricket Club, Magheramason","Ireland, Hong Kong",Hong Kong,normal,40 runs,20,Hong Kong,bat,Null,"R Black, AJ Neill",DT Jukes,T20,male
1007655,2016-06-18,Null,Harare Sports Club,"Zimbabwe, India",Zimbabwe,normal,2 runs,20,India,field,E Chigumbura,"TJ Matibiri, RB Tiffin",RB Richardson,T20,male
1007657,2016-06-20,Null,Harare Sports Club,"Zimbabwe, India",India,normal,10 wickets,20,Zimbabwe,bat,BB Sran,"L Rusere, RB Tiffin",RB Richardson,T20,male
1007659,2016-06-22,Null,Harare Sports Club,"Zimbabwe, India",India,normal,3 runs,20,Zimbabwe,field,KM Jadhav,"TJ Matibiri, RB Tiffin",RB Richardson,T20,male
1019979,2017-01-03,Napier,McLean Park,"New Zealand, Bangladesh",New Zealand,normal,6 wickets,20,Bangladesh,bat,KS Williamson,"SB Haig, WR Knights",BC Broad,T20,male
1019981,2017-01-06,Mount Maunganui,Bay Oval,"New Zealand, Bangladesh",New Zealand,normal,47 runs,20,Bangladesh,field,C Munro,"CM Brown, SB Haig",BC Broad,T20,male
1019983,2017-01-08,Mount Maunganui,Bay Oval,"New Zealand, Bangladesh",New Zealand,normal,27 runs,20,Bangladesh,field,CJ Anderson,"CM Brown, WR Knights",BC Broad,T20,male
1020029,2017-02-17,Auckland,Eden Park,"New Zealand, South Africa",South Africa,normal,78 runs,20,New Zealand,field,Imran Tahir,"CM Brown, WR Knights",J Srinath,T20,male
1031431,2017-06-21,Southampton,The Rose Bowl,"England, South Africa",England,normal,9 wickets,20,South Africa,bat,JM Bairstow,"RJ Bailey, RT Robinson",AJ Pycroft,T20,male
1031433,2017-06-23,Taunton,County Ground,"England, South Africa",South Africa,normal,3 runs,20,England,field,CH Morris,"RJ Bailey, MA Gough",AJ Pycroft,T20,male
1031435,2017-06-25,Cardiff,Sophia Gardens,"England, South Africa",England,normal,19 runs,20,South Africa,field,DJ Malan,"MA Gough, RT Robinson",AJ Pycroft,T20,male
1031665,2017-09-16,Chester-le-Street,Riverside Ground,"West Indies, England",West Indies,normal,21 runs,20,England,field,SP Narine,"RT Robinson, MA Gough",J Srinath,T20,male
1034825,2017-01-26,Kanpur,Green Park,"India, England",England,normal,7 wickets,20,England,field,MM Ali,"AK Chaudhary, Nitin Menon",AJ Pycroft,T20,male
1034827,2017-01-29,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha","India, England",India,normal,5 runs,20,England,field,JJ Bumrah,"AK Chaudhary, C Shamshuddin",AJ Pycroft,T20,male
1034829,2017-02-01,Bangalore,M Chinnaswamy Stadium,"India, England",India,normal,75 runs,20,England,field,YS Chahal,"AK Chaudhary, Nitin Menon",AJ Pycroft,T20,male
1041615,2016-08-27,Lauderhill,Central Broward Regional Park Stadium Turf Ground,"India, West Indies",West Indies,normal,1 runs,20,India,field,E Lewis,"N Duguid, JS Wilson",RS Madugalle,T20,male
1041617,2016-08-28,Lauderhill,Central Broward Regional Park Stadium Turf Ground,"India, West Indies",Null,no result,Null,20,India,field,Null,"LS Reifer, JS Wilson",RS Madugalle,T20,male
1043989,2017-02-17,Melbourne,Melbourne Cricket Ground,"Australia, New Zealand",Australia,normal,40 runs,20,New Zealand,field,EJ Villani,"GA Abood, SAJ Craig",SR Bernard,T20,female
1043991,2017-02-19,Victoria,"Simonds Stadium, South Geelong","Australia, New Zealand",New Zealand,normal,8 runs,20,Australia,field,AM Peterson,"SAJ Craig, JD Ward",SR Bernard,T20,female
1043993,2017-02-22,Adelaide,Adelaide Oval,"Australia, New Zealand",New Zealand,normal,47 runs,20,New Zealand,bat,SW Bates,"GA Abood, JD Ward",SR Bernard,T20,female
1044211,2016-09-27,Colombo,Sinhalese Sports Club Ground,"Sri Lanka, Australia",Australia,normal,10 wickets,20,Australia,field,KM Beams,"JWHD Boteju, ID Gunawardene",M Pethiyagoda,T20,female
1050217,2016-09-23,Dubai,Dubai International Cricket Stadium,"Pakistan, West Indies",Pakistan,normal,9 wickets,20,Pakistan,field,Imad Wasim,"Ahsan Raza, Shozab Raza",AJ Pycroft,T20,male
1050219,2016-09-24,Dubai,Dubai International Cricket Stadium,"Pakistan, West Indies",Pakistan,normal,16 runs,20,West Indies,field,Sarfraz Ahmed,"Ahmed Shahab, Shozab Raza",AJ Pycroft,T20,male
1050221,2016-09-27,Abu Dhabi,Sheikh Zayed Stadium,"Pakistan, West Indies",Pakistan,normal,8 wickets,20,Pakistan,field,Imad Wasim,"Ahsan Raza, Shozab Raza",AJ Pycroft,T20,male
1050615,2016-11-21,Nelson,Saxton Oval,"New Zealand, Pakistan",New Zealand,normal,14 runs,20,New Zealand,bat,Null,"K Cross, D Venter",RE Hayward,T20,female
1065348,2016-12-04,Bangkok,Asian Institute of Technology Ground,"India, Pakistan",India,normal,17 runs,20,India,bat,M Raj,"BB Pradhan, Sarika Prasad",GF Labrooy,T20,female
1072316,2018-02-03,Sydney,Sydney Cricket Ground,"New Zealand, Australia",Australia,normal,7 wickets,20,Australia,field,B Stanlake,"CM Brown, SD Fry",J Srinath,T20,male
1072317,2018-02-07,Hobart,Bellerive Oval,"England, Australia",Australia,normal,5 wickets,20,Australia,field,GJ Maxwell,"GA Abood, SD Fry",J Srinath,T20,male
1072318,2018-02-10,Melbourne,Melbourne Cricket Ground,"England, Australia",Australia,normal,7 wickets,20,Australia,field,KW Richardson,"CM Brown, SJ Nogajski",J Srinath,T20,male
1072319,2018-02-13,Wellington,Westpac Stadium,"New Zealand, England",New Zealand,normal,12 runs,20,England,field,KS Williamson,"SB Haig, WR Knights",J Srinath,T20,male
1072320,2018-02-16,Auckland,Eden Park,"New Zealand, Australia",Australia,normal,5 wickets,20,New Zealand,bat,DJM Short,"P Wilson, SB Haig",J Srinath,T20,male
1072321,2018-02-18,Hamilton,Seddon Park,"England, New Zealand",England,normal,2 runs,20,New Zealand,field,EJG Morgan,"CM Brown, P Wilson",J Srinath,T20,male
1072322,2018-02-21,Auckland,Eden Park,"New Zealand, Australia",Australia,normal,19 runs,20,New Zealand,bat,AC Agar,"CM Brown, WR Knights",J Srinath,T20,male
1074957,2017-01-14,Abu Dhabi,Sheikh Zayed Stadium,"Hong Kong, Scotland",Scotland,normal,24 runs,20,Scotland,bat,CS MacLeod,"Ahmed Shah Pakteen, AJ Neill",GF Labrooy,T20,male
1074959,2017-01-15,Abu Dhabi,Sheikh Zayed Stadium,"Netherlands, Oman",Netherlands,normal,5 wickets,20,Oman,bat,MJG Rippon,"AJT Dowdalls, Tabarak Dar",DT Jukes,T20,male
